mechanism, data size, buffer/package size, rep num, Transfer time,
pipe,524288,4,1,122614626,
pipe,524288,4,2,103238622,
pipe,524288,4,3,95946437,
pipe,524288,4,4,107628057,
pipe,524288,4,5,105514450,
pipe,524288,4,6,106146837,
pipe,524288,4,7,103632542,
pipe,524288,4,8,88938753,
pipe,524288,4,9,91242630,
pipe,524288,4,10,98412918,
pipe,524288,16,1,17574251,
pipe,524288,16,2,18877531,
pipe,524288,16,3,19340689,
pipe,524288,16,4,21175768,
pipe,524288,16,5,28490613,
pipe,524288,16,6,20114086,
pipe,524288,16,7,16975577,
pipe,524288,16,8,19272632,
pipe,524288,16,9,28628970,
pipe,524288,16,10,19991138,
pipe,524288,64,1,3927343,
pipe,524288,64,2,3904688,
pipe,524288,64,3,3777358,
pipe,524288,64,4,7395033,
pipe,524288,64,5,6873798,
pipe,524288,64,6,3977939,
pipe,524288,64,7,4391147,
pipe,524288,64,8,3899473,
pipe,524288,64,9,3910333,
pipe,524288,64,10,4285942,
pipe,524288,256,1,1238954,
pipe,524288,256,2,1385091,
pipe,524288,256,3,1712888,
pipe,524288,256,4,1416406,
pipe,524288,256,5,1788700,
pipe,524288,256,6,1438930,
pipe,524288,256,7,1794880,
pipe,524288,256,8,1787423,
pipe,524288,256,9,1462187,
pipe,524288,256,10,1591282,
pipe,524288,1024,1,913431,
pipe,524288,1024,2,884615,
pipe,524288,1024,3,915290,
pipe,524288,1024,4,1019639,
pipe,524288,1024,5,794531,
pipe,524288,1024,6,1108337,
pipe,524288,1024,7,900473,
pipe,524288,1024,8,813993,
pipe,524288,1024,9,825469,
pipe,524288,1024,10,800187,
pipe,524288,4096,1,541131,
pipe,524288,4096,2,725264,
pipe,524288,4096,3,522354,
pipe,524288,4096,4,516721,
pipe,524288,4096,5,534547,
pipe,524288,4096,6,487964,
pipe,524288,4096,7,571646,
pipe,524288,4096,8,521454,
pipe,524288,4096,9,548393,
pipe,524288,4096,10,538518,
pipe,524288,16384,1,517490,
pipe,524288,16384,2,512412,
pipe,524288,16384,3,570920,
pipe,524288,16384,4,562702,
pipe,524288,16384,5,533416,
pipe,524288,16384,6,498721,
pipe,524288,16384,7,521595,
pipe,524288,16384,8,485643,
pipe,524288,16384,9,521064,
pipe,524288,16384,10,480298,
pipe,524288,65536,1,584612,
pipe,524288,65536,2,662945,
pipe,524288,65536,3,552692,
pipe,524288,65536,4,654129,
pipe,524288,65536,5,570525,
pipe,524288,65536,6,553587,
pipe,524288,65536,7,558013,
pipe,524288,65536,8,564181,
pipe,524288,65536,9,546938,
pipe,524288,65536,10,563879,
pipe,1048576,4,1,217208614,
pipe,1048576,4,2,219363085,
pipe,1048576,4,3,212884518,
pipe,1048576,4,4,210787542,
pipe,1048576,4,5,218184898,
pipe,1048576,4,6,170838834,
pipe,1048576,4,7,168250765,
pipe,1048576,4,8,207326143,
pipe,1048576,4,9,172864381,
pipe,1048576,4,10,167479948,
pipe,1048576,16,1,36397358,
pipe,1048576,16,2,47691891,
pipe,1048576,16,3,34720840,
pipe,1048576,16,4,35864727,
pipe,1048576,16,5,28565425,
pipe,1048576,16,6,27908287,
pipe,1048576,16,7,35004288,
pipe,1048576,16,8,28920653,
pipe,1048576,16,9,33221961,
pipe,1048576,16,10,27429522,
pipe,1048576,64,1,7720660,
pipe,1048576,64,2,8044965,
pipe,1048576,64,3,8098484,
pipe,1048576,64,4,13785853,
pipe,1048576,64,5,8496131,
pipe,1048576,64,6,7954048,
pipe,1048576,64,7,10488020,
pipe,1048576,64,8,7695838,
pipe,1048576,64,9,9168684,
pipe,1048576,64,10,12340351,
pipe,1048576,256,1,3121157,
pipe,1048576,256,2,2968997,
pipe,1048576,256,3,2753340,
pipe,1048576,256,4,2959341,
pipe,1048576,256,5,3547675,
pipe,1048576,256,6,2805141,
pipe,1048576,256,7,2562377,
pipe,1048576,256,8,3093078,
pipe,1048576,256,9,2522766,
pipe,1048576,256,10,3123723,
pipe,1048576,1024,1,1844053,
pipe,1048576,1024,2,1960556,
pipe,1048576,1024,3,1939795,
pipe,1048576,1024,4,1699867,
pipe,1048576,1024,5,1740126,
pipe,1048576,1024,6,1768827,
pipe,1048576,1024,7,1721330,
pipe,1048576,1024,8,1867466,
pipe,1048576,1024,9,1931255,
pipe,1048576,1024,10,1878244,
pipe,1048576,4096,1,1166971,
pipe,1048576,4096,2,1164218,
pipe,1048576,4096,3,1135105,
pipe,1048576,4096,4,1144981,
pipe,1048576,4096,5,1148383,
pipe,1048576,4096,6,1204266,
pipe,1048576,4096,7,1221952,
pipe,1048576,4096,8,1288745,
pipe,1048576,4096,9,1274344,
pipe,1048576,4096,10,1101477,
pipe,1048576,16384,1,1136146,
pipe,1048576,16384,2,1194014,
pipe,1048576,16384,3,1265858,
pipe,1048576,16384,4,1096736,
pipe,1048576,16384,5,1047942,
pipe,1048576,16384,6,1132225,
pipe,1048576,16384,7,1139482,
pipe,1048576,16384,8,1130785,
pipe,1048576,16384,9,1115878,
pipe,1048576,16384,10,1162851,
pipe,1048576,65536,1,1279825,
pipe,1048576,65536,2,1231045,
pipe,1048576,65536,3,1168782,
pipe,1048576,65536,4,1214517,
pipe,1048576,65536,5,1347492,
pipe,1048576,65536,6,1276361,
pipe,1048576,65536,7,1373378,
pipe,1048576,65536,8,1414762,
pipe,1048576,65536,9,1380170,
pipe,1048576,65536,10,1436082,
pipe,1572864,4,1,254121811,
pipe,1572864,4,2,349780026,
pipe,1572864,4,3,282457171,
pipe,1572864,4,4,291851621,
pipe,1572864,4,5,262476295,
pipe,1572864,4,6,307359979,
pipe,1572864,4,7,267523379,
pipe,1572864,4,8,263735400,
pipe,1572864,4,9,278814929,
pipe,1572864,4,10,257352630,
pipe,1572864,16,1,63721350,
pipe,1572864,16,2,49488256,
pipe,1572864,16,3,76216985,
pipe,1572864,16,4,52679162,
pipe,1572864,16,5,41358446,
pipe,1572864,16,6,46197511,
pipe,1572864,16,7,50148486,
pipe,1572864,16,8,69667289,
pipe,1572864,16,9,44138781,
pipe,1572864,16,10,58214464,
pipe,1572864,64,1,13085529,
pipe,1572864,64,2,13471110,
pipe,1572864,64,3,13242718,
pipe,1572864,64,4,12771409,
pipe,1572864,64,5,15716088,
pipe,1572864,64,6,20504745,
pipe,1572864,64,7,11907513,
pipe,1572864,64,8,13425594,
pipe,1572864,64,9,13576648,
pipe,1572864,64,10,13227405,
pipe,1572864,256,1,4494080,
pipe,1572864,256,2,4181189,
pipe,1572864,256,3,4567975,
pipe,1572864,256,4,4084964,
pipe,1572864,256,5,3768316,
pipe,1572864,256,6,4068523,
pipe,1572864,256,7,4577816,
pipe,1572864,256,8,4203401,
pipe,1572864,256,9,3921768,
pipe,1572864,256,10,4094040,
pipe,1572864,1024,1,3446448,
pipe,1572864,1024,2,3094226,
pipe,1572864,1024,3,2759403,
pipe,1572864,1024,4,2635567,
pipe,1572864,1024,5,2761163,
pipe,1572864,1024,6,2786126,
pipe,1572864,1024,7,3465115,
pipe,1572864,1024,8,4470835,
pipe,1572864,1024,9,3788638,
pipe,1572864,1024,10,3216343,
pipe,1572864,4096,1,1794411,
pipe,1572864,4096,2,1869343,
pipe,1572864,4096,3,1823079,
pipe,1572864,4096,4,1675964,
pipe,1572864,4096,5,1804693,
pipe,1572864,4096,6,1834419,
pipe,1572864,4096,7,1850412,
pipe,1572864,4096,8,1644576,
pipe,1572864,4096,9,1824885,
pipe,1572864,4096,10,1758199,
pipe,1572864,16384,1,1858795,
pipe,1572864,16384,2,2704453,
pipe,1572864,16384,3,1923625,
pipe,1572864,16384,4,1858871,
pipe,1572864,16384,5,2306994,
pipe,1572864,16384,6,2246129,
pipe,1572864,16384,7,3182833,
pipe,1572864,16384,8,1965756,
pipe,1572864,16384,9,1979572,
pipe,1572864,16384,10,1725668,
pipe,1572864,65536,1,1898038,
pipe,1572864,65536,2,1762749,
pipe,1572864,65536,3,1804093,
pipe,1572864,65536,4,2173584,
pipe,1572864,65536,5,1942060,
pipe,1572864,65536,6,2342100,
pipe,1572864,65536,7,2021144,
pipe,1572864,65536,8,1925876,
pipe,1572864,65536,9,1849029,
pipe,1572864,65536,10,1997002,
pipe,2097152,4,1,267215168,
pipe,2097152,4,2,335171205,
pipe,2097152,4,3,352157580,
pipe,2097152,4,4,386751086,
pipe,2097152,4,5,425702856,
pipe,2097152,4,6,432907960,
pipe,2097152,4,7,432574501,
pipe,2097152,4,8,205305967,
pipe,2097152,4,9,387554707,
pipe,2097152,4,10,412685437,
pipe,2097152,16,1,83604818,
pipe,2097152,16,2,86738058,
pipe,2097152,16,3,93205952,
pipe,2097152,16,4,70748537,
pipe,2097152,16,5,76379545,
pipe,2097152,16,6,88753138,
pipe,2097152,16,7,97571521,
pipe,2097152,16,8,92036588,
pipe,2097152,16,9,79330869,
pipe,2097152,16,10,90765920,
pipe,2097152,64,1,17897998,
pipe,2097152,64,2,16393364,
pipe,2097152,64,3,17948145,
pipe,2097152,64,4,15756952,
pipe,2097152,64,5,17245304,
pipe,2097152,64,6,25709079,
pipe,2097152,64,7,17205605,
pipe,2097152,64,8,18950087,
pipe,2097152,64,9,17908558,
pipe,2097152,64,10,16336585,
pipe,2097152,256,1,5547426,
pipe,2097152,256,2,6480240,
pipe,2097152,256,3,6196088,
pipe,2097152,256,4,7032307,
pipe,2097152,256,5,5076961,
pipe,2097152,256,6,5777510,
pipe,2097152,256,7,5883656,
pipe,2097152,256,8,5203602,
pipe,2097152,256,9,5889683,
pipe,2097152,256,10,6438921,
pipe,2097152,1024,1,4181783,
pipe,2097152,1024,2,3574022,
pipe,2097152,1024,3,3899101,
pipe,2097152,1024,4,3704564,
pipe,2097152,1024,5,3554250,
pipe,2097152,1024,6,3976591,
pipe,2097152,1024,7,3993002,
pipe,2097152,1024,8,4149162,
pipe,2097152,1024,9,3824780,
pipe,2097152,1024,10,3753575,
pipe,2097152,4096,1,2217964,
pipe,2097152,4096,2,2411391,
pipe,2097152,4096,3,2506464,
pipe,2097152,4096,4,2214772,
pipe,2097152,4096,5,2511411,
pipe,2097152,4096,6,2403511,
pipe,2097152,4096,7,2224727,
pipe,2097152,4096,8,2470130,
pipe,2097152,4096,9,2421830,
pipe,2097152,4096,10,2226754,
pipe,2097152,16384,1,2325136,
pipe,2097152,16384,2,2503414,
pipe,2097152,16384,3,2229732,
pipe,2097152,16384,4,2325173,
pipe,2097152,16384,5,2208169,
pipe,2097152,16384,6,2276911,
pipe,2097152,16384,7,2431448,
pipe,2097152,16384,8,2298445,
pipe,2097152,16384,9,2498088,
pipe,2097152,16384,10,2285790,
pipe,2097152,65536,1,2474021,
pipe,2097152,65536,2,2567247,
pipe,2097152,65536,3,2483859,
pipe,2097152,65536,4,2648625,
pipe,2097152,65536,5,2390363,
pipe,2097152,65536,6,2696908,
pipe,2097152,65536,7,2574168,
pipe,2097152,65536,8,2426360,
pipe,2097152,65536,9,2412260,
pipe,2097152,65536,10,2502570,
pipe,2621440,4,1,452698793,
pipe,2621440,4,2,552143758,
pipe,2621440,4,3,539102992,
pipe,2621440,4,4,526332298,
pipe,2621440,4,5,505100135,
pipe,2621440,4,6,420768463,
pipe,2621440,4,7,278033139,
pipe,2621440,4,8,445560037,
pipe,2621440,4,9,420973664,
pipe,2621440,4,10,482489433,
pipe,2621440,16,1,100352224,
pipe,2621440,16,2,100896581,
pipe,2621440,16,3,99192886,
pipe,2621440,16,4,107944891,
pipe,2621440,16,5,83492990,
pipe,2621440,16,6,80035852,
pipe,2621440,16,7,93277745,
pipe,2621440,16,8,72132448,
pipe,2621440,16,9,91690877,
pipe,2621440,16,10,92643769,
pipe,2621440,64,1,21750803,
pipe,2621440,64,2,20875974,
pipe,2621440,64,3,21708069,
pipe,2621440,64,4,20784894,
pipe,2621440,64,5,23118409,
pipe,2621440,64,6,26202044,
pipe,2621440,64,7,20158230,
pipe,2621440,64,8,21352172,
pipe,2621440,64,9,21456343,
pipe,2621440,64,10,20698978,
pipe,2621440,256,1,8035204,
pipe,2621440,256,2,6993837,
pipe,2621440,256,3,8511477,
