mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,524288,4,1,81246122,
shared mem,524288,4,2,79979406,
shared mem,524288,4,3,78294583,
shared mem,524288,4,4,73376764,
shared mem,524288,4,5,77149506,
shared mem,524288,4,6,72536384,
shared mem,524288,4,7,66860043,
shared mem,524288,4,8,67938350,
shared mem,524288,4,9,77403092,
shared mem,524288,4,10,68406932,
shared mem,524288,16,1,19203727,
shared mem,524288,16,2,18949897,
shared mem,524288,16,3,19256360,
shared mem,524288,16,4,17018709,
shared mem,524288,16,5,18895777,
shared mem,524288,16,6,17484185,
shared mem,524288,16,7,19093400,
shared mem,524288,16,8,18757034,
shared mem,524288,16,9,19199180,
shared mem,524288,16,10,17997054,
shared mem,524288,64,1,5350070,
shared mem,524288,64,2,5650402,
shared mem,524288,64,3,5356858,
shared mem,524288,64,4,5566146,
shared mem,524288,64,5,5336241,
shared mem,524288,64,6,5448522,
shared mem,524288,64,7,5528781,
shared mem,524288,64,8,5434118,
shared mem,524288,64,9,5382927,
shared mem,524288,64,10,5447969,
shared mem,524288,256,1,1549596,
shared mem,524288,256,2,1627232,
shared mem,524288,256,3,1633484,
shared mem,524288,256,4,1699579,
shared mem,524288,256,5,1668712,
shared mem,524288,256,6,1572009,
shared mem,524288,256,7,1645759,
shared mem,524288,256,8,1528104,
shared mem,524288,256,9,1576907,
shared mem,524288,256,10,1669609,
shared mem,524288,1024,1,666441,
shared mem,524288,1024,2,708109,
shared mem,524288,1024,3,659834,
shared mem,524288,1024,4,760270,
shared mem,524288,1024,5,707669,
shared mem,524288,1024,6,732331,
shared mem,524288,1024,7,669760,
shared mem,524288,1024,8,708011,
shared mem,524288,1024,9,720794,
shared mem,524288,1024,10,960677,
shared mem,524288,4096,1,581932,
shared mem,524288,4096,2,591145,
shared mem,524288,4096,3,575655,
shared mem,524288,4096,4,627615,
shared mem,524288,4096,5,601769,
shared mem,524288,4096,6,592552,
shared mem,524288,4096,7,666934,
shared mem,524288,4096,8,581888,
shared mem,524288,4096,9,557760,
shared mem,524288,4096,10,618138,
shared mem,524288,16384,1,392319,
shared mem,524288,16384,2,369257,
shared mem,524288,16384,3,368271,
shared mem,524288,16384,4,373859,
shared mem,524288,16384,5,486643,
shared mem,524288,16384,6,342956,
shared mem,524288,16384,7,336055,
shared mem,524288,16384,8,494373,
shared mem,524288,16384,9,452594,
shared mem,524288,16384,10,486701,
shared mem,524288,65536,1,251077,
shared mem,524288,65536,2,380388,
shared mem,524288,65536,3,241109,
shared mem,524288,65536,4,263195,
shared mem,524288,65536,5,246181,
shared mem,524288,65536,6,259152,
shared mem,524288,65536,7,260501,
shared mem,524288,65536,8,272837,
shared mem,524288,65536,9,262472,
shared mem,524288,65536,10,266277,
shared mem,1048576,4,1,168029087,
shared mem,1048576,4,2,144781260,
shared mem,1048576,4,3,141108856,
shared mem,1048576,4,4,139723067,
shared mem,1048576,4,5,135866287,
shared mem,1048576,4,6,157403632,
shared mem,1048576,4,7,139659920,
shared mem,1048576,4,8,168515329,
shared mem,1048576,4,9,160334887,
shared mem,1048576,4,10,156097031,
shared mem,1048576,16,1,38585783,
shared mem,1048576,16,2,41538731,
shared mem,1048576,16,3,38275602,
shared mem,1048576,16,4,36903788,
shared mem,1048576,16,5,41009139,
shared mem,1048576,16,6,35912668,
shared mem,1048576,16,7,44317659,
shared mem,1048576,16,8,43202620,
shared mem,1048576,16,9,32938495,
shared mem,1048576,16,10,35697658,
shared mem,1048576,64,1,10393925,
shared mem,1048576,64,2,10623666,
shared mem,1048576,64,3,11310080,
shared mem,1048576,64,4,10121736,
shared mem,1048576,64,5,10927890,
shared mem,1048576,64,6,10791963,
shared mem,1048576,64,7,10714776,
shared mem,1048576,64,8,10710131,
shared mem,1048576,64,9,10215311,
shared mem,1048576,64,10,10606026,
shared mem,1048576,256,1,3149291,
shared mem,1048576,256,2,3191271,
shared mem,1048576,256,3,3627019,
shared mem,1048576,256,4,4362772,
shared mem,1048576,256,5,3447612,
shared mem,1048576,256,6,3049193,
shared mem,1048576,256,7,3122585,
shared mem,1048576,256,8,3442405,
shared mem,1048576,256,9,3488591,
shared mem,1048576,256,10,3428703,
shared mem,1048576,1024,1,1410015,
shared mem,1048576,1024,2,1446113,
shared mem,1048576,1024,3,1342394,
shared mem,1048576,1024,4,1287899,
shared mem,1048576,1024,5,1585247,
shared mem,1048576,1024,6,1289904,
shared mem,1048576,1024,7,1343354,
shared mem,1048576,1024,8,1451201,
shared mem,1048576,1024,9,1305263,
shared mem,1048576,1024,10,1333102,
shared mem,1048576,4096,1,1016260,
shared mem,1048576,4096,2,1288188,
shared mem,1048576,4096,3,1208534,
shared mem,1048576,4096,4,1114993,
shared mem,1048576,4096,5,1065179,
shared mem,1048576,4096,6,1132219,
shared mem,1048576,4096,7,1052505,
shared mem,1048576,4096,8,1196833,
shared mem,1048576,4096,9,1123204,
shared mem,1048576,4096,10,1102020,
shared mem,1048576,16384,1,709948,
shared mem,1048576,16384,2,620476,
shared mem,1048576,16384,3,713390,
shared mem,1048576,16384,4,688928,
shared mem,1048576,16384,5,623715,
shared mem,1048576,16384,6,645093,
shared mem,1048576,16384,7,638306,
shared mem,1048576,16384,8,630451,
shared mem,1048576,16384,9,763690,
shared mem,1048576,16384,10,692481,
shared mem,1048576,65536,1,430541,
shared mem,1048576,65536,2,526638,
shared mem,1048576,65536,3,428634,
shared mem,1048576,65536,4,411112,
shared mem,1048576,65536,5,422299,
shared mem,1048576,65536,6,396334,
shared mem,1048576,65536,7,518942,
shared mem,1048576,65536,8,452644,
shared mem,1048576,65536,9,414695,
shared mem,1048576,65536,10,448367,
shared mem,1572864,4,1,256924902,
shared mem,1572864,4,2,236178368,
shared mem,1572864,4,3,213689285,
shared mem,1572864,4,4,237760368,
shared mem,1572864,4,5,226298439,
shared mem,1572864,4,6,232389876,
shared mem,1572864,4,7,236099462,
shared mem,1572864,4,8,225935135,
shared mem,1572864,4,9,210388689,
shared mem,1572864,4,10,246628315,
shared mem,1572864,16,1,59690961,
shared mem,1572864,16,2,52239930,
shared mem,1572864,16,3,55082457,
shared mem,1572864,16,4,61081963,
shared mem,1572864,16,5,60327892,
shared mem,1572864,16,6,55348794,
shared mem,1572864,16,7,57224972,
shared mem,1572864,16,8,52715579,
shared mem,1572864,16,9,51332919,
shared mem,1572864,16,10,50758731,
shared mem,1572864,64,1,16171281,
shared mem,1572864,64,2,15866016,
shared mem,1572864,64,3,16791362,
shared mem,1572864,64,4,15240040,
shared mem,1572864,64,5,14511419,
shared mem,1572864,64,6,16091641,
shared mem,1572864,64,7,15532330,
shared mem,1572864,64,8,16789076,
shared mem,1572864,64,9,15677236,
shared mem,1572864,64,10,16039683,
shared mem,1572864,256,1,4871635,
shared mem,1572864,256,2,4655563,
shared mem,1572864,256,3,4836358,
shared mem,1572864,256,4,4547641,
shared mem,1572864,256,5,4610184,
shared mem,1572864,256,6,4588121,
shared mem,1572864,256,7,4698763,
shared mem,1572864,256,8,4640692,
shared mem,1572864,256,9,4602084,
shared mem,1572864,256,10,4701760,
shared mem,1572864,1024,1,1979485,
shared mem,1572864,1024,2,1905299,
shared mem,1572864,1024,3,2032744,
shared mem,1572864,1024,4,2019105,
shared mem,1572864,1024,5,2137613,
shared mem,1572864,1024,6,1968905,
shared mem,1572864,1024,7,2224620,
shared mem,1572864,1024,8,1928711,
shared mem,1572864,1024,9,2242676,
shared mem,1572864,1024,10,2199033,
shared mem,1572864,4096,1,1579676,
shared mem,1572864,4096,2,1744243,
shared mem,1572864,4096,3,1849562,
shared mem,1572864,4096,4,1816449,
shared mem,1572864,4096,5,1826429,
shared mem,1572864,4096,6,1667000,
shared mem,1572864,4096,7,1716299,
shared mem,1572864,4096,8,1683987,
shared mem,1572864,4096,9,1587962,
shared mem,1572864,4096,10,1841296,
shared mem,1572864,16384,1,1002666,
shared mem,1572864,16384,2,935524,
shared mem,1572864,16384,3,934505,
shared mem,1572864,16384,4,1278098,
shared mem,1572864,16384,5,1170132,
shared mem,1572864,16384,6,1023016,
shared mem,1572864,16384,7,914500,
