mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,4,4,1,8589,
shared mem,4,4,2,8815,
shared mem,4,4,3,7275,
shared mem,4,4,4,7794,
shared mem,4,4,5,29842,
shared mem,4,4,6,7186,
shared mem,4,4,7,7537,
shared mem,4,4,8,8635,
shared mem,4,4,9,7184,
shared mem,4,4,10,8608,
shared mem,4,16,1,7161,
shared mem,4,16,2,8535,
shared mem,4,16,3,7176,
shared mem,4,16,4,8784,
shared mem,4,16,5,5514,
shared mem,4,16,6,7404,
shared mem,4,16,7,7082,
shared mem,4,16,8,7445,
shared mem,4,16,9,27418,
shared mem,4,16,10,20340,
shared mem,4,64,1,21236,
shared mem,4,64,2,6814,
shared mem,4,64,3,8491,
shared mem,4,64,4,8324,
shared mem,4,64,5,6779,
shared mem,4,64,6,6912,
shared mem,4,64,7,6694,
shared mem,4,64,8,6931,
shared mem,4,64,9,5129,
shared mem,4,64,10,6702,
shared mem,4,256,1,7214,
shared mem,4,256,2,8053,
shared mem,4,256,3,6865,
shared mem,4,256,4,5733,
shared mem,4,256,5,6675,
shared mem,4,256,6,6630,
shared mem,4,256,7,7819,
shared mem,4,256,8,6805,
shared mem,4,256,9,5715,
shared mem,4,256,10,8088,
shared mem,4,1024,1,6655,
shared mem,4,1024,2,8065,
shared mem,4,1024,3,6847,
shared mem,4,1024,4,7196,
shared mem,4,1024,5,11623,
shared mem,4,1024,6,7384,
shared mem,4,1024,7,6769,
shared mem,4,1024,8,31116,
shared mem,4,1024,9,8924,
shared mem,4,1024,10,8589,
shared mem,4,4096,1,7231,
shared mem,4,4096,2,8525,
shared mem,4,4096,3,8584,
shared mem,4,4096,4,7229,
shared mem,4,4096,5,7307,
shared mem,4,4096,6,6391,
shared mem,4,4096,7,7736,
shared mem,4,4096,8,7819,
shared mem,4,4096,9,7840,
shared mem,4,4096,10,7177,
shared mem,4,16384,1,6640,
shared mem,4,16384,2,7276,
shared mem,4,16384,3,7841,
shared mem,4,16384,4,7114,
shared mem,4,16384,5,7496,
shared mem,4,16384,6,7025,
shared mem,4,16384,7,7561,
shared mem,4,16384,8,8995,
shared mem,4,16384,9,7737,
shared mem,4,16384,10,8603,
shared mem,4,65536,1,7331,
shared mem,4,65536,2,8459,
shared mem,4,65536,3,8551,
shared mem,4,65536,4,8709,
shared mem,4,65536,5,8595,
shared mem,4,65536,6,7056,
shared mem,4,65536,7,7377,
shared mem,4,65536,8,7366,
shared mem,4,65536,9,8252,
shared mem,4,65536,10,8278,
shared mem,16,4,1,11798,
shared mem,16,4,2,12166,
shared mem,16,4,3,15294,
shared mem,16,4,4,12764,
shared mem,16,4,5,11957,
shared mem,16,4,6,14631,
shared mem,16,4,7,11645,
shared mem,16,4,8,14405,
shared mem,16,4,9,14944,
shared mem,16,4,10,14940,
shared mem,16,16,1,8692,
shared mem,16,16,2,8612,
