mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,524288,4,1,219865527,
shared mem,524288,4,2,196179843,
shared mem,524288,4,3,216503585,
shared mem,524288,4,4,252393468,
shared mem,524288,4,5,254008597,
shared mem,524288,4,6,248505412,
shared mem,524288,4,7,217840504,
shared mem,524288,4,8,251102456,
shared mem,524288,4,9,217105702,
shared mem,524288,4,10,259078712,
shared mem,524288,16,1,71887179,
shared mem,524288,16,2,60605534,
shared mem,524288,16,3,68789759,
shared mem,524288,16,4,67637732,
shared mem,524288,16,5,64716172,
shared mem,524288,16,6,59886856,
shared mem,524288,16,7,60411511,
shared mem,524288,16,8,63360200,
shared mem,524288,16,9,69656687,
shared mem,524288,16,10,53993436,
shared mem,524288,64,1,15479866,
shared mem,524288,64,2,16616942,
shared mem,524288,64,3,16333166,
shared mem,524288,64,4,16573315,
shared mem,524288,64,5,16379836,
shared mem,524288,64,6,16959201,
shared mem,524288,64,7,15828731,
shared mem,524288,64,8,16729692,
shared mem,524288,64,9,16992288,
shared mem,524288,64,10,15433098,
shared mem,524288,256,1,4945992,
shared mem,524288,256,2,4729809,
shared mem,524288,256,3,4952481,
shared mem,524288,256,4,4366026,
shared mem,524288,256,5,5659038,
shared mem,524288,256,6,4820301,
shared mem,524288,256,7,4872392,
shared mem,524288,256,8,5268828,
shared mem,524288,256,9,4861651,
shared mem,524288,256,10,5020594,
shared mem,524288,1024,1,2253702,
shared mem,524288,1024,2,2166309,
shared mem,524288,1024,3,2250187,
shared mem,524288,1024,4,2461869,
shared mem,524288,1024,5,2106754,
shared mem,524288,1024,6,1858117,
shared mem,524288,1024,7,1965841,
shared mem,524288,1024,8,2025265,
shared mem,524288,1024,9,1981685,
shared mem,524288,1024,10,2039216,
shared mem,524288,4096,1,1988614,
shared mem,524288,4096,2,1814977,
shared mem,524288,4096,3,1717780,
shared mem,524288,4096,4,1804901,
shared mem,524288,4096,5,1643422,
shared mem,524288,4096,6,1885103,
shared mem,524288,4096,7,1939879,
shared mem,524288,4096,8,1824664,
shared mem,524288,4096,9,1909438,
shared mem,524288,4096,10,1833056,
shared mem,524288,16384,1,990590,
shared mem,524288,16384,2,1037822,
shared mem,524288,16384,3,1040048,
shared mem,524288,16384,4,1013243,
shared mem,524288,16384,5,1050081,
shared mem,524288,16384,6,1190661,
shared mem,524288,16384,7,1111829,
shared mem,524288,16384,8,1213985,
shared mem,524288,16384,9,1011413,
shared mem,524288,16384,10,998532,
shared mem,524288,65536,1,683731,
shared mem,524288,65536,2,1247137,
shared mem,524288,65536,3,1134826,
shared mem,524288,65536,4,740604,
shared mem,524288,65536,5,752543,
shared mem,524288,65536,6,701300,
shared mem,524288,65536,7,809228,
shared mem,524288,65536,8,868375,
shared mem,524288,65536,9,728539,
shared mem,524288,65536,10,746050,
shared mem,1048576,4,1,477628999,
shared mem,1048576,4,2,482706115,
shared mem,1048576,4,3,599501769,
shared mem,1048576,4,4,528722283,
shared mem,1048576,4,5,547323428,
shared mem,1048576,4,6,521785699,
shared mem,1048576,4,7,431180235,
shared mem,1048576,4,8,431159550,
shared mem,1048576,4,9,479199596,
shared mem,1048576,4,10,402071856,
shared mem,1048576,16,1,111021659,
shared mem,1048576,16,2,120036568,
shared mem,1048576,16,3,110825177,
shared mem,1048576,16,4,112943090,
shared mem,1048576,16,5,124963663,
shared mem,1048576,16,6,130656153,
shared mem,1048576,16,7,131669571,
shared mem,1048576,16,8,130863500,
shared mem,1048576,16,9,132462026,
shared mem,1048576,16,10,141736197,
shared mem,1048576,64,1,44095845,
shared mem,1048576,64,2,38593538,
shared mem,1048576,64,3,38758869,
shared mem,1048576,64,4,39831333,
shared mem,1048576,64,5,44498411,
shared mem,1048576,64,6,33530561,
shared mem,1048576,64,7,30489135,
shared mem,1048576,64,8,34430588,
shared mem,1048576,64,9,33077388,
shared mem,1048576,64,10,31662810,
shared mem,1048576,256,1,9609197,
shared mem,1048576,256,2,12520963,
shared mem,1048576,256,3,10666064,
shared mem,1048576,256,4,9626775,
shared mem,1048576,256,5,11252895,
shared mem,1048576,256,6,9858754,
shared mem,1048576,256,7,10128023,
shared mem,1048576,256,8,9276386,
shared mem,1048576,256,9,10303792,
