mechanism, data size, buffer/package size, rep num, Transfer time,
shared mem,4,4,1,33,
shared mem,4,4,2,24,
shared mem,4,4,3,10,
shared mem,4,4,4,9,
shared mem,4,4,5,10,
shared mem,4,4,6,20,
shared mem,4,4,7,10,
shared mem,4,4,8,9,
shared mem,4,4,9,8,
shared mem,4,4,10,8,
shared mem,4,16,1,8,
shared mem,4,16,2,8,
shared mem,4,16,3,8,
shared mem,4,16,4,8,
shared mem,4,16,5,8,
shared mem,4,16,6,8,
shared mem,4,16,7,8,
shared mem,4,16,8,8,
shared mem,4,16,9,8,
shared mem,4,16,10,8,
shared mem,4,64,1,12,
shared mem,4,64,2,10,
shared mem,4,64,3,10,
shared mem,4,64,4,9,
shared mem,4,64,5,8,
shared mem,4,64,6,9,
shared mem,4,64,7,8,
shared mem,4,64,8,8,
shared mem,4,64,9,8,
shared mem,4,64,10,8,
shared mem,4,256,1,8,
shared mem,4,256,2,9,
shared mem,4,256,3,9,
shared mem,4,256,4,8,
shared mem,4,256,5,8,
shared mem,4,256,6,19,
shared mem,4,256,7,9,
shared mem,4,256,8,10,
shared mem,4,256,9,9,
shared mem,4,256,10,19,
shared mem,4,1024,1,19,
shared mem,4,1024,2,19,
shared mem,4,1024,3,18,
shared mem,4,1024,4,18,
shared mem,4,1024,5,19,
shared mem,4,1024,6,18,
shared mem,4,1024,7,18,
shared mem,4,1024,8,20,
shared mem,4,1024,9,18,
shared mem,4,1024,10,19,
shared mem,4,4096,1,19,
shared mem,4,4096,2,18,
shared mem,4,4096,3,19,
shared mem,4,4096,4,18,
shared mem,4,4096,5,19,
shared mem,4,4096,6,19,
shared mem,4,4096,7,18,
shared mem,4,4096,8,19,
shared mem,4,4096,9,19,
shared mem,4,4096,10,19,
shared mem,4,16384,1,19,
shared mem,4,16384,2,19,
shared mem,4,16384,3,21,
shared mem,4,16384,4,19,
shared mem,4,16384,5,19,
shared mem,4,16384,6,19,
shared mem,4,16384,7,18,
shared mem,4,16384,8,19,
shared mem,4,16384,9,19,
shared mem,4,16384,10,19,
shared mem,4,65536,1,20,
shared mem,4,65536,2,19,
shared mem,4,65536,3,9,
shared mem,4,65536,4,30,
shared mem,4,65536,5,8,
shared mem,4,65536,6,15,
shared mem,4,65536,7,18,
shared mem,4,65536,8,20,
shared mem,4,65536,9,18,
shared mem,4,65536,10,18,
shared mem,16,4,1,21,
shared mem,16,4,2,19,
shared mem,16,4,3,19,
shared mem,16,4,4,20,
shared mem,16,4,5,20,
shared mem,16,4,6,21,
shared mem,16,4,7,20,
shared mem,16,4,8,20,
shared mem,16,4,9,21,
shared mem,16,4,10,20,
shared mem,16,16,1,18,
shared mem,16,16,2,18,
shared mem,16,16,3,18,
shared mem,16,16,4,19,
shared mem,16,16,5,21,
shared mem,16,16,6,18,
shared mem,16,16,7,18,
shared mem,16,16,8,18,
shared mem,16,16,9,18,
shared mem,16,16,10,17,
shared mem,16,64,1,19,
shared mem,16,64,2,18,
shared mem,16,64,3,18,
shared mem,16,64,4,18,
shared mem,16,64,5,18,
shared mem,16,64,6,18,
shared mem,16,64,7,18,
shared mem,16,64,8,18,
shared mem,16,64,9,20,
shared mem,16,64,10,20,
shared mem,16,256,1,9,
shared mem,16,256,2,11,
shared mem,16,256,3,9,
shared mem,16,256,4,16,
shared mem,16,256,5,18,
shared mem,16,256,6,18,
shared mem,16,256,7,19,
shared mem,16,256,8,17,
shared mem,16,256,9,18,
shared mem,16,256,10,17,
shared mem,16,1024,1,18,
shared mem,16,1024,2,18,
shared mem,16,1024,3,17,
shared mem,16,1024,4,19,
shared mem,16,1024,5,18,
shared mem,16,1024,6,18,
shared mem,16,1024,7,29,
shared mem,16,1024,8,11,
shared mem,16,1024,9,15,
shared mem,16,1024,10,19,
shared mem,16,4096,1,19,
shared mem,16,4096,2,20,
shared mem,16,4096,3,19,
shared mem,16,4096,4,19,
shared mem,16,4096,5,18,
shared mem,16,4096,6,19,
shared mem,16,4096,7,18,
shared mem,16,4096,8,19,
shared mem,16,4096,9,18,
shared mem,16,4096,10,20,
shared mem,16,16384,1,18,
shared mem,16,16384,2,19,
shared mem,16,16384,3,19,
shared mem,16,16384,4,18,
shared mem,16,16384,5,18,
shared mem,16,16384,6,20,
shared mem,16,16384,7,29,
shared mem,16,16384,8,14,
shared mem,16,16384,9,15,
shared mem,16,16384,10,16,
shared mem,16,65536,1,21,
shared mem,16,65536,2,9,
shared mem,16,65536,3,18,
shared mem,16,65536,4,18,
shared mem,16,65536,5,19,
shared mem,16,65536,6,17,
shared mem,16,65536,7,18,
shared mem,16,65536,8,17,
shared mem,16,65536,9,18,
shared mem,16,65536,10,18,
shared mem,64,4,1,26,
shared mem,64,4,2,27,
shared mem,64,4,3,27,
shared mem,64,4,4,25,
shared mem,64,4,5,26,
shared mem,64,4,6,26,
shared mem,64,4,7,27,
shared mem,64,4,8,27,
shared mem,64,4,9,25,
shared mem,64,4,10,27,
shared mem,64,16,1,21,
shared mem,64,16,2,21,
shared mem,64,16,3,20,
shared mem,64,16,4,20,
shared mem,64,16,5,25,
shared mem,64,16,6,20,
shared mem,64,16,7,21,
shared mem,64,16,8,21,
shared mem,64,16,9,20,
shared mem,64,16,10,23,
shared mem,64,64,1,34,
shared mem,64,64,2,8,
shared mem,64,64,3,10,
shared mem,64,64,4,15,
shared mem,64,64,5,18,
shared mem,64,64,6,19,
shared mem,64,64,7,18,
shared mem,64,64,8,18,
shared mem,64,64,9,18,
shared mem,64,64,10,18,
shared mem,64,256,1,18,
shared mem,64,256,2,18,
shared mem,64,256,3,19,
shared mem,64,256,4,18,
shared mem,64,256,5,17,
shared mem,64,256,6,18,
shared mem,64,256,7,17,
shared mem,64,256,8,18,
shared mem,64,256,9,17,
shared mem,64,256,10,18,
shared mem,64,1024,1,19,
shared mem,64,1024,2,17,
shared mem,64,1024,3,20,
shared mem,64,1024,4,18,
shared mem,64,1024,5,18,
shared mem,64,1024,6,19,
shared mem,64,1024,7,18,
shared mem,64,1024,8,17,
shared mem,64,1024,9,19,
shared mem,64,1024,10,19,
shared mem,64,4096,1,18,
shared mem,64,4096,2,17,
shared mem,64,4096,3,17,
shared mem,64,4096,4,17,
shared mem,64,4096,5,18,
shared mem,64,4096,6,19,
shared mem,64,4096,7,18,
shared mem,64,4096,8,33,
shared mem,64,4096,9,30,
shared mem,64,4096,10,25,
shared mem,64,16384,1,9,
shared mem,64,16384,2,16,
shared mem,64,16384,3,17,
shared mem,64,16384,4,19,
shared mem,64,16384,5,17,
shared mem,64,16384,6,17,
shared mem,64,16384,7,18,
shared mem,64,16384,8,18,
shared mem,64,16384,9,18,
shared mem,64,16384,10,17,
shared mem,64,65536,1,22,
shared mem,64,65536,2,18,
shared mem,64,65536,3,18,
shared mem,64,65536,4,17,
shared mem,64,65536,5,17,
shared mem,64,65536,6,26,
shared mem,64,65536,7,11,
shared mem,64,65536,8,9,
shared mem,64,65536,9,18,
shared mem,64,65536,10,19,
shared mem,256,4,1,52,
shared mem,256,4,2,57,
shared mem,256,4,3,52,
shared mem,256,4,4,55,
shared mem,256,4,5,55,
shared mem,256,4,6,59,
shared mem,256,4,7,56,
shared mem,256,4,8,55,
shared mem,256,4,9,58,
shared mem,256,4,10,67,
shared mem,256,16,1,31,
shared mem,256,16,2,17,
shared mem,256,16,3,25,
shared mem,256,16,4,28,
shared mem,256,16,5,27,
shared mem,256,16,6,26,
shared mem,256,16,7,25,
shared mem,256,16,8,26,
shared mem,256,16,9,26,
shared mem,256,16,10,27,
shared mem,256,64,1,19,
shared mem,256,64,2,21,
shared mem,256,64,3,20,
shared mem,256,64,4,20,
shared mem,256,64,5,20,
shared mem,256,64,6,23,
shared mem,256,64,7,19,
shared mem,256,64,8,20,
shared mem,256,64,9,21,
shared mem,256,64,10,21,
