mechanism, data size, buffer/package size, rep num, Transfer time,
socket,524288,4,1,341227054,
socket,524288,4,2,318640852,
socket,524288,4,3,313312579,
socket,524288,4,4,297952710,
socket,524288,4,5,307226010,
socket,524288,4,6,297614056,
socket,524288,4,7,306707989,
socket,524288,4,8,311119297,
socket,524288,4,9,268843146,
socket,524288,4,10,179343957,
socket,524288,16,1,86315288,
socket,524288,16,2,79322108,
socket,524288,16,3,80863825,
socket,524288,16,4,78963942,
socket,524288,16,5,74588495,
socket,524288,16,6,80136497,
socket,524288,16,7,74953998,
socket,524288,16,8,80473105,
socket,524288,16,9,78552723,
socket,524288,16,10,75828111,
socket,524288,64,1,19839733,
socket,524288,64,2,18981167,
socket,524288,64,3,19292413,
socket,524288,64,4,19227647,
socket,524288,64,5,20114685,
socket,524288,64,6,19806604,
socket,524288,64,7,20106875,
socket,524288,64,8,20129905,
socket,524288,64,9,19735562,
socket,524288,64,10,21013505,
socket,524288,256,1,5069989,
socket,524288,256,2,5074766,
socket,524288,256,3,5297631,
socket,524288,256,4,5444434,
socket,524288,256,5,5309175,
socket,524288,256,6,4956367,
socket,524288,256,7,5093215,
socket,524288,256,8,5531098,
socket,524288,256,9,4785822,
socket,524288,256,10,5043609,
socket,524288,1024,1,1461146,
socket,524288,1024,2,715679,
socket,524288,1024,3,1361998,
socket,524288,1024,4,1328283,
socket,524288,1024,5,1391117,
socket,524288,1024,6,1278339,
socket,524288,1024,7,1360376,
socket,524288,1024,8,1307697,
socket,524288,1024,9,1375277,
socket,524288,1024,10,1285771,
socket,524288,4096,1,334725,
socket,524288,4096,2,289055,
socket,524288,4096,3,373139,
socket,524288,4096,4,261911,
socket,524288,4096,5,367604,
socket,524288,4096,6,307232,
socket,524288,4096,7,358716,
socket,524288,4096,8,396582,
socket,524288,4096,9,324358,
socket,524288,4096,10,350428,
socket,524288,16384,1,168996,
socket,524288,16384,2,176747,
socket,524288,16384,3,174493,
socket,524288,16384,4,193771,
socket,524288,16384,5,306291,
socket,524288,16384,6,159555,
socket,524288,16384,7,159493,
socket,524288,16384,8,160330,
socket,524288,16384,9,155519,
socket,524288,16384,10,153766,
socket,524288,65536,1,131723,
socket,524288,65536,2,194607,
socket,524288,65536,3,150325,
socket,524288,65536,4,143254,
socket,524288,65536,5,149589,
socket,524288,65536,6,137931,
socket,524288,65536,7,135712,
socket,524288,65536,8,174625,
socket,524288,65536,9,270187,
socket,524288,65536,10,155334,
socket,1048576,4,1,443695705,
socket,1048576,4,2,603921238,
socket,1048576,4,3,614973213,
socket,1048576,4,4,623807198,
socket,1048576,4,5,603560656,
socket,1048576,4,6,590307049,
socket,1048576,4,7,615795375,
socket,1048576,4,8,611470827,
socket,1048576,4,9,607298774,
socket,1048576,4,10,615360124,
socket,1048576,16,1,150670342,
socket,1048576,16,2,152445342,
socket,1048576,16,3,148673840,
socket,1048576,16,4,151723313,
socket,1048576,16,5,148860957,
socket,1048576,16,6,152720149,
socket,1048576,16,7,164613032,
socket,1048576,16,8,144843601,
socket,1048576,16,9,147691921,
socket,1048576,16,10,145001428,
socket,1048576,64,1,36755488,
socket,1048576,64,2,35922022,
socket,1048576,64,3,37032162,
socket,1048576,64,4,37492346,
socket,1048576,64,5,37340602,
socket,1048576,64,6,37118212,
socket,1048576,64,7,37414723,
socket,1048576,64,8,36705440,
socket,1048576,64,9,38270548,
socket,1048576,64,10,37247692,
socket,1048576,256,1,9317854,
socket,1048576,256,2,9291250,
socket,1048576,256,3,9341194,
socket,1048576,256,4,9629071,
socket,1048576,256,5,9104398,
socket,1048576,256,6,10180644,
socket,1048576,256,7,8628212,
socket,1048576,256,8,3484620,
socket,1048576,256,9,11018552,
socket,1048576,256,10,9840880,
socket,1048576,1024,1,2719736,
socket,1048576,1024,2,2671562,
socket,1048576,1024,3,2627427,
socket,1048576,1024,4,2436858,
socket,1048576,1024,5,2400987,
socket,1048576,1024,6,2437516,
socket,1048576,1024,7,2739610,
socket,1048576,1024,8,2545842,
socket,1048576,1024,9,2492759,
socket,1048576,1024,10,2383353,
socket,1048576,4096,1,422776,
socket,1048576,4096,2,464882,
socket,1048576,4096,3,521012,
socket,1048576,4096,4,567030,
socket,1048576,4096,5,684950,
socket,1048576,4096,6,496913,
socket,1048576,4096,7,542249,
socket,1048576,4096,8,705166,
socket,1048576,4096,9,698056,
socket,1048576,4096,10,638426,
socket,1048576,16384,1,309413,
socket,1048576,16384,2,314919,
socket,1048576,16384,3,312890,
socket,1048576,16384,4,356423,
socket,1048576,16384,5,307706,
socket,1048576,16384,6,350748,
socket,1048576,16384,7,316024,
socket,1048576,16384,8,368828,
socket,1048576,16384,9,354071,
socket,1048576,16384,10,330122,
socket,1048576,65536,1,290389,
socket,1048576,65536,2,348254,
socket,1048576,65536,3,322905,
socket,1048576,65536,4,294595,
socket,1048576,65536,5,295715,
socket,1048576,65536,6,306431,
socket,1048576,65536,7,336678,
socket,1048576,65536,8,331392,
socket,1048576,65536,9,293297,
socket,1048576,65536,10,392417,
socket,1572864,4,1,968386605,
socket,1572864,4,2,896005978,
socket,1572864,4,3,940120454,
socket,1572864,4,4,879235989,
socket,1572864,4,5,820716084,
socket,1572864,4,6,646920586,
socket,1572864,4,7,924774295,
socket,1572864,4,8,785966302,
socket,1572864,4,9,852845069,
socket,1572864,4,10,896742742,
socket,1572864,16,1,222853128,
socket,1572864,16,2,222833193,
socket,1572864,16,3,217519880,
socket,1572864,16,4,228947419,
socket,1572864,16,5,234814162,
socket,1572864,16,6,245117600,
socket,1572864,16,7,238180637,
socket,1572864,16,8,224171249,
socket,1572864,16,9,229862041,
socket,1572864,16,10,228830805,
socket,1572864,64,1,57165211,
socket,1572864,64,2,55245042,
socket,1572864,64,3,57017014,
socket,1572864,64,4,57796177,
socket,1572864,64,5,55377973,
socket,1572864,64,6,58704129,
socket,1572864,64,7,55115564,
socket,1572864,64,8,58049586,
socket,1572864,64,9,58712020,
socket,1572864,64,10,59796560,
socket,1572864,256,1,15153403,
socket,1572864,256,2,14550470,
socket,1572864,256,3,15171834,
socket,1572864,256,4,13981186,
socket,1572864,256,5,14845866,
socket,1572864,256,6,13616541,
socket,1572864,256,7,14626636,
socket,1572864,256,8,15215323,
socket,1572864,256,9,15060928,
socket,1572864,256,10,15117780,
socket,1572864,1024,1,4140988,
socket,1572864,1024,2,3640506,
socket,1572864,1024,3,4237602,
socket,1572864,1024,4,4410743,
socket,1572864,1024,5,3916614,
socket,1572864,1024,6,4331566,
socket,1572864,1024,7,4041889,
socket,1572864,1024,8,3921741,
socket,1572864,1024,9,4306526,
socket,1572864,1024,10,4615399,
socket,1572864,4096,1,855325,
socket,1572864,4096,2,925420,
socket,1572864,4096,3,969797,
socket,1572864,4096,4,820482,
socket,1572864,4096,5,1575994,
socket,1572864,4096,6,1643598,
socket,1572864,4096,7,1099183,
socket,1572864,4096,8,909862,
socket,1572864,4096,9,865688,
socket,1572864,4096,10,872422,
socket,1572864,16384,1,470106,
socket,1572864,16384,2,484841,
socket,1572864,16384,3,976900,
socket,1572864,16384,4,526858,
socket,1572864,16384,5,549042,
socket,1572864,16384,6,612242,
socket,1572864,16384,7,609103,
socket,1572864,16384,8,544008,
socket,1572864,16384,9,522765,
socket,1572864,16384,10,462515,
socket,1572864,65536,1,450417,
socket,1572864,65536,2,478066,
socket,1572864,65536,3,981597,
socket,1572864,65536,4,518858,
socket,1572864,65536,5,470246,
socket,1572864,65536,6,440133,
socket,1572864,65536,7,454269,
socket,1572864,65536,8,466716,
socket,1572864,65536,9,488234,
socket,1572864,65536,10,490821,
