mechanism, data size, buffer/package size, rep num, Transfer time,
socket,524288,4,1,306727,
socket,524288,4,2,302214,
socket,524288,4,3,305335,
socket,524288,4,4,309584,
socket,524288,4,5,305754,
socket,524288,4,6,313098,
socket,524288,4,7,309923,
socket,524288,4,8,293439,
socket,524288,4,9,329924,
socket,524288,4,10,298425,
socket,524288,16,1,79213,
socket,524288,16,2,76427,
socket,524288,16,3,73460,
socket,524288,16,4,75736,
socket,524288,16,5,84455,
socket,524288,16,6,78917,
socket,524288,16,7,74936,
socket,524288,16,8,75344,
socket,524288,16,9,75364,
socket,524288,16,10,72130,
socket,524288,64,1,18818,
socket,524288,64,2,17836,
socket,524288,64,3,18474,
socket,524288,64,4,18274,
socket,524288,64,5,19103,
socket,524288,64,6,18393,
socket,524288,64,7,18476,
socket,524288,64,8,18718,
socket,524288,64,9,18582,
socket,524288,64,10,18542,
socket,524288,256,1,4846,
socket,524288,256,2,4657,
socket,524288,256,3,4709,
socket,524288,256,4,4694,
socket,524288,256,5,4651,
socket,524288,256,6,4634,
socket,524288,256,7,4578,
socket,524288,256,8,4666,
socket,524288,256,9,4616,
socket,524288,256,10,4648,
socket,524288,1024,1,1399,
socket,524288,1024,2,1253,
socket,524288,1024,3,1358,
socket,524288,1024,4,1310,
socket,524288,1024,5,1260,
socket,524288,1024,6,1307,
socket,524288,1024,7,1408,
socket,524288,1024,8,1246,
socket,524288,1024,9,1298,
socket,524288,1024,10,1338,
socket,524288,4096,1,318,
socket,524288,4096,2,320,
socket,524288,4096,3,324,
socket,524288,4096,4,337,
socket,524288,4096,5,350,
socket,524288,4096,6,357,
socket,524288,4096,7,329,
socket,524288,4096,8,282,
socket,524288,4096,9,334,
socket,524288,4096,10,374,
socket,524288,16384,1,159,
socket,524288,16384,2,213,
socket,524288,16384,3,164,
socket,524288,16384,4,166,
socket,524288,16384,5,168,
socket,524288,16384,6,160,
socket,524288,16384,7,205,
socket,524288,16384,8,195,
socket,524288,16384,9,192,
socket,524288,16384,10,157,
socket,524288,65536,1,143,
socket,524288,65536,2,144,
socket,524288,65536,3,149,
socket,524288,65536,4,145,
socket,524288,65536,5,196,
socket,524288,65536,6,274,
socket,524288,65536,7,149,
socket,524288,65536,8,148,
socket,524288,65536,9,156,
socket,524288,65536,10,156,
socket,1048576,4,1,584424,
socket,1048576,4,2,635275,
socket,1048576,4,3,487201,
socket,1048576,4,4,585507,
socket,1048576,4,5,585945,
socket,1048576,4,6,583311,
socket,1048576,4,7,552135,
socket,1048576,4,8,607988,
socket,1048576,4,9,489248,
socket,1048576,4,10,615703,
socket,1048576,16,1,161475,
socket,1048576,16,2,163964,
socket,1048576,16,3,149811,
socket,1048576,16,4,147680,
socket,1048576,16,5,152402,
socket,1048576,16,6,153721,
socket,1048576,16,7,149467,
socket,1048576,16,8,159814,
socket,1048576,16,9,164874,
socket,1048576,16,10,164354,
socket,1048576,64,1,39617,
socket,1048576,64,2,41133,
socket,1048576,64,3,35338,
socket,1048576,64,4,7914,
socket,1048576,64,5,15783,
socket,1048576,64,6,26628,
socket,1048576,64,7,41674,
socket,1048576,64,8,40855,
socket,1048576,64,9,42642,
socket,1048576,64,10,42466,
socket,1048576,256,1,9311,
socket,1048576,256,2,9886,
socket,1048576,256,3,8918,
socket,1048576,256,4,9274,
socket,1048576,256,5,9393,
socket,1048576,256,6,9336,
socket,1048576,256,7,9251,
socket,1048576,256,8,9234,
socket,1048576,256,9,9538,
socket,1048576,256,10,9348,
socket,1048576,1024,1,2526,
socket,1048576,1024,2,2532,
socket,1048576,1024,3,2660,
socket,1048576,1024,4,2577,
socket,1048576,1024,5,2388,
socket,1048576,1024,6,2398,
socket,1048576,1024,7,2609,
socket,1048576,1024,8,2429,
socket,1048576,1024,9,2381,
socket,1048576,1024,10,2502,
socket,1048576,4096,1,713,
socket,1048576,4096,2,622,
socket,1048576,4096,3,528,
socket,1048576,4096,4,602,
socket,1048576,4096,5,648,
socket,1048576,4096,6,689,
socket,1048576,4096,7,605,
socket,1048576,4096,8,621,
socket,1048576,4096,9,760,
socket,1048576,4096,10,720,
socket,1048576,16384,1,331,
socket,1048576,16384,2,389,
socket,1048576,16384,3,340,
socket,1048576,16384,4,352,
socket,1048576,16384,5,319,
socket,1048576,16384,6,348,
socket,1048576,16384,7,305,
socket,1048576,16384,8,330,
